,ID,Дата,Цена,Район,Залог,Комиссия,Предоплата,Срок аренды,Общая площадь,Год постройки
1243,278703251,19 08 12:21,45000,Адмиралтейский,45000,0,1 месяц,несколько месяцев,25,
1244,293170686,30 09 13:08,40000,Адмиралтейский,40000,0.8,1 месяц,от года,41.3,2014
1245,293043046,29 08 16:23,40000,Красногвардейский,40000,0.5,1 месяц,от года,31,2019
1246,292632661,29 08 06:36,45000,Московский,45000,0.8,1 месяц,несколько месяцев,62,2016
1247,271749191,28 08 19:26,40000,Фрунзенский,40000,0.6,1 месяц,от года,64,2008
1248,292953474,28 08 18:56,45000,Московский,45000,0.5,1 месяц,от года,65,2016
1249,293049095,28 08 16:26,45000,Калининский,45000,0.6,1 месяц,от года,65,2001
1250,292366672,27 08 19:58,45000,Приморский,45000,0.7,1 месяц,от года,50,2002
1251,292899392,25 08 17:51,45000,Кировский,45000,0,1 месяц,от года,41.4,1962
1252,279849903,25 08 06:15,45000,Центральный,,0,1 месяц,несколько месяцев,60,1864
1253,292873343,30 09 12:41,40000,Красногвардейский,40000,0.5,1 месяц,от года,65,2008
1254,292731845,27 08 16:27,40000,Колпинский,40000,1.0,1 месяц,от года,70,2006
1255,283331024,6 08 13:27,39990,Красносельский,42500,0,1 месяц,от года,66,2004
1256,292859431,30 09 14:12,40000,Невский,40000,0.6,1 месяц,от года,65,2008
1257,292156573,30 09 12:18,46000,Московский,46000,0.5,1 месяц,от года,43.7,
1258,289208090,29 08 17:09,43000,Выборгский,43000,0.5,1 месяц,от года,47,2010
1259,274968207,29 08 11:52,40000,Невский,40000,1.0,1 месяц,от года,75,2013
1260,268946230,29 08 10:58,37000,Василеостровский,46000,0.5,1 месяц,несколько месяцев,30,2020
1261,241068734,25 08 15:46,40000,Центральный,40000,0.5,1 месяц,от года,30,
1262,293141542,29 08 17:50,43000,Центральный,43000,0.6,,от года,43,2014
1263,292969594,29 08 16:53,47000,Приморский,47000,0.5,,от года,45.6,2008
1264,292416823,28 08 17:17,43000,Московский,43000,0.7,,от года,36,2014
1265,292994706,26 08 17:51,42000,Фрунзенский,42000,0.6,1 месяц,от года,26.5,
1266,246745127,30 09 12:06,42000,Центральный,42000,0,1 месяц,несколько месяцев,40,1876
1267,292667859,01 10 08:37,48000,Приморский,44000,0.4,1 месяц,от года,33,2022
1268,240046915,30 09 12:43,45000,Центральный,45000,0.5,1 месяц,от года,40,1890
1269,292198194,29 08 17:18,43000,Приморский,43000,0.5,,от года,62.5,1977
1270,293065391,29 08 12:11,48000,Центральный,45000,1.0,1 месяц,от года,46,1933
1271,292276286,18 08 12:12,48000,Калининский,48000,0.5,1 месяц,от года,72,2004
1272,292780254,29 08 19:22,45000,Приморский,,0,2 месяца,от года,33,2022
1273,292474280,29 08 11:24,48000,Выборгский,48000,0.55,1 месяц,от года,42,2022
1274,279443442,28 08 13:37,45000,Адмиралтейский,40000,0,1 месяц,несколько месяцев,25,2021
1275,293147889,01 10 11:33,45000,Приморский,45000,0.7,1 месяц,от года,58.3,2013
1276,293121827,29 08 12:18,42000,Кировский,24000,0.5,1 месяц,от года,35,
1277,292808953,28 08 16:18,45000,Красногвардейский,45000,0.5,1 месяц,от года,58,2021
